,Winner,Year,Film Title
0,Yes,1928,Wings
1,No,1928,7th Heaven
2,No,1928,The Racket
3,Yes,1929,The Broadway Melody
4,No,1929,Alibi
5,No,1929,The Hollywood Revue
6,No,1929,In Old Arizona
7,No,1929,The Patriot
8,Yes,1930,All Quiet on the Western Front
9,No,1930,The Big House
10,No,1930,Disraeli
11,No,1930,The Divorcee
12,No,1930,The Love Parade
13,Yes,1931,Cimarron
14,No,1931,East Lynne
15,No,1931,The Front Page
16,No,1931,Skippy
17,No,1931,Trader Horn
18,Yes,1932,Grand Hotel
19,No,1932,Arrowsmith
20,No,1932,Bad Girl
21,No,1932,The Champ
22,No,1932,Five Star Final
23,No,1932,One Hour with You
24,No,1932,Shanghai Express
25,No,1932,The Smiling Lieutenant
26,Yes,1933,Cavalcade
27,No,1933,42nd Street
28,No,1933,A Farewell to Arms
29,No,1933,I Am a Fugitive from a Chain Gang
30,No,1933,Lady for a Day
31,No,1933,Little Women
32,No,1933,The Private Life of Henry VIII
33,No,1933,She Done Him Wrong
34,No,1933,Smilin' Through
35,No,1933,State Fair
36,Yes,1934,It Happened One Night
37,No,1934,The Barretts of Wimpole Street
38,No,1934,Cleopatra
39,No,1934,Flirtation Walk
40,No,1934,The Gay Divorcee
41,No,1934,Here Comes the Navy
42,No,1934,The House of Rothschild
43,No,1934,Imitation of Life
44,No,1934,One Night of Love
45,No,1934,The Thin Man
46,No,1934,Viva Villa!
47,No,1934,The White Parade
48,Yes,1935,Mutiny on the Bounty
49,No,1935,Alice Adams
50,No,1935,Broadway Melody of 1936
51,No,1935,Captain Blood
52,No,1935,David Copperfield
53,No,1935,The Informer
54,No,1935,The Lives of a Bengal Lancer
55,No,1935,A Midsummer Night's Dream
56,No,1935,Les Misérables
57,No,1935,Naughty Marietta
58,No,1935,Ruggles of Red Gap
59,No,1935,Top Hat
60,Yes,1936,The Great Ziegfeld
61,No,1936,Anthony Adverse
62,No,1936,Dodsworth
63,No,1936,Libeled Lady
64,No,1936,Mr. Deeds Goes to Town
65,No,1936,Romeo and Juliet
66,No,1936,San Francisco
67,No,1936,The Story of Louis Pasteur
68,No,1936,A Tale of Two Cities
69,No,1936,Three Smart Girls
70,Yes,1937,The Life of Emile Zola
71,No,1937,The Awful Truth
72,No,1937,Captains Courageous
73,No,1937,Dead End
74,No,1937,The Good Earth
75,No,1937,In Old Chicago
76,No,1937,Lost Horizon
77,No,1937,One Hundred Men and a Girl
78,No,1937,Stage Door
79,No,1937,A Star Is Born
80,Yes,1938,You Can't Take It with You
81,No,1938,The Adventures of Robin Hood
82,No,1938,Alexander's Ragtime Band
83,No,1938,Boys Town
84,No,1938,The Citadel
85,No,1938,Four Daughters
86,No,1938,Grand Illusion
87,No,1938,Jezebel
88,No,1938,Pygmalion
89,No,1938,Test Pilot
90,Yes,1939,Gone with the Wind
91,No,1939,Dark Victory
92,No,1939,"Goodbye, Mr. Chips"
93,No,1939,Love Affair
94,No,1939,Mr. Smith Goes to Washington
95,No,1939,Ninotchka
96,No,1939,Of Mice and Men
97,No,1939,Stagecoach
98,No,1939,The Wizard of Oz
99,No,1939,Wuthering Heights
100,Yes,1940,Rebecca
101,No,1940,"All This, and Heaven Too"
102,No,1940,Foreign Correspondent
103,No,1940,The Grapes of Wrath
104,No,1940,The Great Dictator
105,No,1940,Kitty Foyle
106,No,1940,The Letter
107,No,1940,The Long Voyage Home
108,No,1940,Our Town
109,No,1940,The Philadelphia Story
110,Yes,1941,How Green Was My Valley
111,No,1941,Blossoms in the Dust
112,No,1941,Citizen Kane
113,No,1941,Here Comes Mr. Jordan
114,No,1941,Hold Back the Dawn
115,No,1941,The Little Foxes
116,No,1941,The Maltese Falcon
117,No,1941,One Foot in Heaven
118,No,1941,Sergeant York
119,No,1941,Suspicion
120,Yes,1942,Mrs. Miniver
121,No,1942,49th Parallel[83]
122,No,1942,Kings Row
123,No,1942,The Magnificent Ambersons
124,No,1942,The Pied Piper
125,No,1942,The Pride of the Yankees
126,No,1942,Random Harvest
127,No,1942,The Talk of the Town
128,No,1942,Wake Island
129,No,1942,Yankee Doodle Dandy
130,Yes,1943,Casablanca
131,No,1943,For Whom the Bell Tolls
132,No,1943,Heaven Can Wait
133,No,1943,The Human Comedy
134,No,1943,In Which We Serve
135,No,1943,Madame Curie
136,No,1943,The More the Merrier
137,No,1943,The Ox-Bow Incident
138,No,1943,The Song of Bernadette
139,No,1943,Watch on the Rhine
140,Yes,1944,Going My Way
141,No,1944,Double Indemnity
142,No,1944,Gaslight
143,No,1944,Since You Went Away
144,No,1944,Wilson
145,Yes,1945,The Lost Weekend
146,No,1945,Anchors Aweigh
147,No,1945,The Bells of St. Mary's
148,No,1945,Mildred Pierce
149,No,1945,Spellbound
150,Yes,1946,The Best Years of Our Lives
151,No,1946,Henry V
152,No,1946,It's a Wonderful Life
153,No,1946,The Razor's Edge
154,No,1946,The Yearling
155,Yes,1947,Gentleman's Agreement
156,No,1947,The Bishop's Wife
157,No,1947,Crossfire
158,No,1947,Great Expectations
159,No,1947,Miracle on 34th Street
160,Yes,1948,Hamlet
161,No,1948,Johnny Belinda
162,No,1948,The Red Shoes
163,No,1948,The Snake Pit
164,No,1948,The Treasure of the Sierra Madre
165,Yes,1949,All the King's Men
166,No,1949,Battleground
167,No,1949,The Heiress
168,No,1949,A Letter to Three Wives
169,No,1949,Twelve O'Clock High
170,Yes,1950,All About Eve
171,No,1950,Born Yesterday
172,No,1950,Father of the Bride
173,No,1950,King Solomon's Mines
174,No,1950,Sunset Boulevard
175,Yes,1951,An American in Paris
176,No,1951,Decision Before Dawn
177,No,1951,A Place in the Sun
178,No,1951,Quo Vadis
179,No,1951,A Streetcar Named Desire
180,Yes,1952,The Greatest Show on Earth
181,No,1952,High Noon
182,No,1952,Ivanhoe
183,No,1952,Moulin Rouge
184,No,1952,The Quiet Man
185,Yes,1953,From Here to Eternity
186,No,1953,Julius Caesar
187,No,1953,The Robe
188,No,1953,Roman Holiday
189,No,1953,Shane
190,Yes,1954,On the Waterfront
191,No,1954,The Caine Mutiny
192,No,1954,The Country Girl
193,No,1954,Seven Brides for Seven Brothers
194,No,1954,Three Coins in the Fountain
195,Yes,1955,Marty
196,No,1955,Love Is a Many-Splendored Thing
197,No,1955,Mister Roberts
198,No,1955,Picnic
199,No,1955,The Rose Tattoo
200,Yes,1956,Around the World in 80 Days
201,No,1956,Friendly Persuasion
202,No,1956,Giant
203,No,1956,The King and I
204,No,1956,The Ten Commandments
205,Yes,1957,The Bridge on the River Kwai
206,No,1957,12 Angry Men
207,No,1957,Peyton Place
208,No,1957,Sayonara
209,No,1957,Witness for the Prosecution
210,Yes,1958,Gigi
211,No,1958,Auntie Mame
212,No,1958,Cat on a Hot Tin Roof
213,No,1958,The Defiant Ones
214,No,1958,Separate Tables
215,Yes,1959,Ben-Hur
216,No,1959,Anatomy of a Murder
217,No,1959,The Diary of Anne Frank
218,No,1959,The Nun's Story
219,No,1959,Room at the Top
220,Yes,1960,The Apartment
221,No,1960,The Alamo
222,No,1960,Elmer Gantry
223,No,1960,Sons and Lovers
224,No,1960,The Sundowners
225,Yes,1961,West Side Story
226,No,1961,Fanny
227,No,1961,The Guns of Navarone
228,No,1961,The Hustler
229,No,1961,Judgment at Nuremberg
230,Yes,1962,Lawrence of Arabia
231,No,1962,The Longest Day
232,No,1962,The Music Man
233,Yes,1962,Mutiny on the Bounty
234,No,1962,To Kill a Mockingbird
235,Yes,1963,Tom Jones
236,No,1963,America America
237,No,1963,Cleopatra
238,No,1963,How the West Was Won
239,No,1963,Lilies of the Field
240,Yes,1964,My Fair Lady
241,No,1964,Becket
242,No,1964,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb
243,No,1964,Mary Poppins
244,No,1964,Zorba the Greek
245,Yes,1965,The Sound of Music
246,No,1965,Darling
247,No,1965,Doctor Zhivago
248,No,1965,Ship of Fools
249,No,1965,A Thousand Clowns
250,Yes,1966,A Man for All Seasons
251,No,1966,Alfie
252,No,1966,"The Russians Are Coming, the Russians Are Coming"
253,No,1966,The Sand Pebbles
254,No,1966,Who's Afraid of Virginia Woolf?
255,Yes,1967,In the Heat of the Night
256,No,1967,Bonnie and Clyde
257,No,1967,Doctor Dolittle
258,No,1967,The Graduate
259,No,1967,Guess Who's Coming to Dinner
260,Yes,1968,Oliver!
261,No,1968,Funny Girl
262,No,1968,The Lion in Winter
263,No,1968,"Rachel, Rachel"
264,No,1968,Romeo and Juliet
265,Yes,1969,Midnight Cowboy
266,No,1969,Anne of the Thousand Days
267,No,1969,Butch Cassidy and the Sundance Kid
268,No,1969,"Hello, Dolly!"
269,No,1969,Z
270,Yes,1970,Patton
271,No,1970,Airport
272,No,1970,Five Easy Pieces
273,No,1970,Love Story
274,No,1970,M*A*S*H
275,Yes,1971,The French Connection
276,No,1971,A Clockwork Orange
277,No,1971,Fiddler on the Roof
278,No,1971,The Last Picture Show
279,No,1971,Nicholas and Alexandra
280,Yes,1972,The Godfather
281,No,1972,Cabaret
282,No,1972,Deliverance
283,No,1972,The Emigrants
284,No,1972,Sounder
285,Yes,1973,The Sting
286,No,1973,American Graffiti
287,No,1973,Cries and Whispers
288,No,1973,The Exorcist
289,No,1973,A Touch of Class
290,Yes,1974,The Godfather Part II
291,No,1974,Chinatown
292,No,1974,The Conversation
293,No,1974,Lenny
294,No,1974,The Towering Inferno
295,Yes,1975,One Flew Over the Cuckoo's Nest
296,No,1975,Barry Lyndon
297,No,1975,Dog Day Afternoon
298,No,1975,Jaws
299,No,1975,Nashville
300,Yes,1976,Rocky
301,No,1976,All the President's Men
302,No,1976,Bound for Glory
303,No,1976,Network
304,No,1976,Taxi Driver
305,Yes,1977,Annie Hall
306,No,1977,The Goodbye Girl
307,No,1977,Julia
308,No,1977,Star Wars
309,No,1977,The Turning Point
310,Yes,1978,The Deer Hunter
311,No,1978,Coming Home
312,No,1978,Heaven Can Wait
313,No,1978,Midnight Express
314,No,1978,An Unmarried Woman
315,Yes,1979,Kramer vs. Kramer
316,No,1979,All That Jazz
317,No,1979,Apocalypse Now
318,No,1979,Breaking Away
319,No,1979,Norma Rae
320,Yes,1980,Ordinary People
321,No,1980,Coal Miner's Daughter
322,No,1980,The Elephant Man
323,No,1980,Raging Bull
324,No,1980,Tess
325,Yes,1981,Chariots of Fire
326,No,1981,Atlantic City
327,No,1981,On Golden Pond
328,No,1981,Raiders of the Lost Ark
329,No,1981,Reds
330,Yes,1982,Gandhi
331,No,1982,E.T. the Extra-Terrestrial
332,No,1982,Missing
333,No,1982,Tootsie
334,No,1982,The Verdict
335,Yes,1983,Terms of Endearment
336,No,1983,The Big Chill
337,No,1983,The Dresser
338,No,1983,The Right Stuff
339,No,1983,Tender Mercies
340,Yes,1984,Amadeus
341,No,1984,The Killing Fields
342,No,1984,A Passage to India
343,No,1984,Places in the Heart
344,No,1984,A Soldier's Story
345,Yes,1985,Out of Africa
346,No,1985,The Color Purple
347,No,1985,Kiss of the Spider Woman
348,No,1985,Prizzi's Honor
349,No,1985,Witness
350,Yes,1986,Platoon
351,No,1986,Children of a Lesser God
352,No,1986,Hannah and Her Sisters
353,No,1986,The Mission
354,No,1986,A Room with a View
355,Yes,1987,The Last Emperor
356,No,1987,Broadcast News
357,No,1987,Fatal Attraction
358,No,1987,Hope and Glory
