,Year of Film Release,Film,winner_status
0,1927/28 ,Wings,True
1,1927/28 ,7th Heaven,False
2,1927/28 ,The Racket,False
4,1928/29  ,The Broadway Melody,True
5,1928/29  ,Alibi,False
6,1928/29  ,The Hollywood Revue,False
7,1928/29  ,In Old Arizona,False
8,1928/29  ,The Patriot,False
0,1929/30 ,All Quiet on the Western Front,True
1,1929/30 ,The Big House,False
2,1929/30 ,Disraeli,False
3,1929/30 ,The Divorcee,False
4,1929/30 ,The Love Parade,False
6,1930/31 ,Cimarron,True
7,1930/31 ,East Lynne,False
8,1930/31 ,The Front Page,False
9,1930/31 ,Skippy,False
10,1930/31 ,Trader Horn,False
11,1931/32 ,Grand Hotel,True
12,1931/32 ,Arrowsmith,False
13,1931/32 ,Bad Girl,False
14,1931/32 ,The Champ,False
15,1931/32 ,Five Star Final,False
16,1931/32 ,One Hour with You,False
17,1931/32 ,Shanghai Express,False
18,1931/32 ,The Smiling Lieutenant,False
20,1932/33  ,Cavalcade,True
21,1932/33  ,42nd Street,False
22,1932/33  ,A Farewell to Arms,False
23,1932/33  ,I Am a Fugitive from a Chain Gang,False
24,1932/33  ,Lady for a Day,False
25,1932/33  ,Little Women,False
26,1932/33  ,The Private Life of Henry VIII,False
27,1932/33  ,She Done Him Wrong,False
28,1932/33  ,Smilin' Through,False
29,1932/33  ,State Fair,False
31,1934  ,It Happened One Night,True
32,1934  ,The Barretts of Wimpole Street,False
33,1934  ,Cleopatra,False
34,1934  ,Flirtation Walk,False
35,1934  ,The Gay Divorcee,False
36,1934  ,Here Comes the Navy,False
37,1934  ,The House of Rothschild,False
38,1934  ,Imitation of Life,False
39,1934  ,One Night of Love,False
40,1934  ,The Thin Man,False
41,1934  ,Viva Villa!,False
42,1934  ,The White Parade,False
44,1935  ,Mutiny on the Bounty,True
45,1935  ,Alice Adams,False
46,1935  ,Broadway Melody of 1936,False
47,1935  ,Captain Blood,False
48,1935  ,David Copperfield,False
49,1935  ,The Informer,False
50,1935  ,The Lives of a Bengal Lancer,False
51,1935  ,A Midsummer Night's Dream,False
52,1935  ,Les Misérables,False
53,1935  ,Naughty Marietta,False
54,1935  ,Ruggles of Red Gap,False
55,1935  ,Top Hat,False
57,1936 ,The Great Ziegfeld,True
58,1936 ,Anthony Adverse,False
59,1936 ,Dodsworth,False
60,1936 ,Libeled Lady,False
61,1936 ,Mr. Deeds Goes to Town,False
62,1936 ,Romeo and Juliet,False
63,1936 ,San Francisco,False
64,1936 ,The Story of Louis Pasteur,False
65,1936 ,A Tale of Two Cities,False
66,1936 ,Three Smart Girls,False
68,1937 ,The Life of Emile Zola,True
69,1937 ,The Awful Truth,False
70,1937 ,Captains Courageous,False
71,1937 ,Dead End,False
72,1937 ,The Good Earth,False
73,1937 ,In Old Chicago,False
74,1937 ,Lost Horizon,False
75,1937 ,One Hundred Men and a Girl,False
76,1937 ,Stage Door,False
77,1937 ,A Star Is Born,False
79,1938 ,You Can't Take It with You,True
80,1938 ,The Adventures of Robin Hood,False
81,1938 ,Alexander's Ragtime Band,False
82,1938 ,Boys Town,False
83,1938 ,The Citadel,False
84,1938 ,Four Daughters,False
85,1938 ,Grand Illusion,False
86,1938 ,Jezebel,False
87,1938 ,Pygmalion,False
88,1938 ,Test Pilot,False
90,1939 ,Gone with the Wind,True
91,1939 ,Dark Victory,False
92,1939 ,"Goodbye, Mr. Chips",False
93,1939 ,Love Affair,False
94,1939 ,Mr. Smith Goes to Washington,False
95,1939 ,Ninotchka,False
96,1939 ,Of Mice and Men,False
97,1939 ,Stagecoach,False
98,1939 ,The Wizard of Oz,False
99,1939 ,Wuthering Heights,False
0,1940 ,Rebecca,True
1,1940 ,"All This, and Heaven Too",False
2,1940 ,Foreign Correspondent,False
3,1940 ,The Grapes of Wrath,False
4,1940 ,The Great Dictator,False
5,1940 ,Kitty Foyle,False
6,1940 ,The Letter,False
7,1940 ,The Long Voyage Home,False
8,1940 ,Our Town,False
9,1940 ,The Philadelphia Story,False
11,1941 ,How Green Was My Valley,True
12,1941 ,Blossoms in the Dust,False
13,1941 ,Citizen Kane,False
14,1941 ,Here Comes Mr. Jordan,False
15,1941 ,Hold Back the Dawn,False
16,1941 ,The Little Foxes,False
17,1941 ,The Maltese Falcon,False
18,1941 ,One Foot in Heaven,False
19,1941 ,Sergeant York,False
20,1941 ,Suspicion,False
22,1942 ,Mrs. Miniver,True
23,1942 ,49th Parallel[83],False
24,1942 ,Kings Row,False
25,1942 ,The Magnificent Ambersons,False
26,1942 ,The Pied Piper,False
27,1942 ,The Pride of the Yankees,False
28,1942 ,Random Harvest,False
29,1942 ,The Talk of the Town,False
30,1942 ,Wake Island,False
31,1942 ,Yankee Doodle Dandy,False
33,1943 ,Casablanca,True
34,1943 ,For Whom the Bell Tolls,False
35,1943 ,Heaven Can Wait,False
36,1943 ,The Human Comedy,False
37,1943 ,In Which We Serve,False
38,1943 ,Madame Curie,False
39,1943 ,The More the Merrier,False
40,1943 ,The Ox-Bow Incident,False
41,1943 ,The Song of Bernadette,False
42,1943 ,Watch on the Rhine,False
44,1944 ,Going My Way,True
45,1944 ,Double Indemnity,False
46,1944 ,Gaslight,False
47,1944 ,Since You Went Away,False
48,1944 ,Wilson,False
50,1945 ,The Lost Weekend,True
51,1945 ,Anchors Aweigh,False
52,1945 ,The Bells of St. Mary's,False
53,1945 ,Mildred Pierce,False
54,1945 ,Spellbound,False
56,1946 ,The Best Years of Our Lives,True
57,1946 ,Henry V,False
58,1946 ,It's a Wonderful Life,False
59,1946 ,The Razor's Edge,False
60,1946 ,The Yearling,False
62,1947 ,Gentleman's Agreement,True
63,1947 ,The Bishop's Wife,False
64,1947 ,Crossfire,False
65,1947 ,Great Expectations,False
66,1947 ,Miracle on 34th Street,False
68,1948 ,Hamlet,True
69,1948 ,Johnny Belinda,False
70,1948 ,The Red Shoes,False
71,1948 ,The Snake Pit,False
72,1948 ,The Treasure of the Sierra Madre,False
74,1949 ,All the King's Men,True
75,1949 ,Battleground,False
76,1949 ,The Heiress,False
77,1949 ,A Letter to Three Wives,False
78,1949 ,Twelve O'Clock High,False
0,1950 ,All About Eve,True
1,1950 ,Born Yesterday,False
2,1950 ,Father of the Bride,False
3,1950 ,King Solomon's Mines,False
4,1950 ,Sunset Boulevard,False
6,1951 ,An American in Paris,True
7,1951 ,Decision Before Dawn,False
8,1951 ,A Place in the Sun,False
9,1951 ,Quo Vadis,False
10,1951 ,A Streetcar Named Desire,False
12,1952 ,The Greatest Show on Earth,True
13,1952 ,High Noon,False
14,1952 ,Ivanhoe,False
15,1952 ,Moulin Rouge,False
16,1952 ,The Quiet Man,False
18,1953 ,From Here to Eternity,True
19,1953 ,Julius Caesar,False
20,1953 ,The Robe,False
21,1953 ,Roman Holiday,False
22,1953 ,Shane,False
24,1954 ,On the Waterfront,True
25,1954 ,The Caine Mutiny,False
26,1954 ,The Country Girl,False
27,1954 ,Seven Brides for Seven Brothers,False
28,1954 ,Three Coins in the Fountain,False
30,1955 ,Marty,True
31,1955 ,Love Is a Many-Splendored Thing,False
32,1955 ,Mister Roberts,False
33,1955 ,Picnic,False
34,1955 ,The Rose Tattoo,False
36,1956 ,Around the World in 80 Days,True
37,1956 ,Friendly Persuasion,False
38,1956 ,Giant,False
39,1956 ,The King and I,False
40,1956 ,The Ten Commandments,False
42,1957 ,The Bridge on the River Kwai,True
43,1957 ,12 Angry Men,False
44,1957 ,Peyton Place,False
45,1957 ,Sayonara,False
46,1957 ,Witness for the Prosecution,False
48,1958 ,Gigi,True
49,1958 ,Auntie Mame,False
50,1958 ,Cat on a Hot Tin Roof,False
51,1958 ,The Defiant Ones,False
52,1958 ,Separate Tables,False
54,1959 ,Ben-Hur,True
55,1959 ,Anatomy of a Murder,False
56,1959 ,The Diary of Anne Frank,False
57,1959 ,The Nun's Story,False
58,1959 ,Room at the Top,False
0,1960 ,The Apartment,True
1,1960 ,The Alamo,False
2,1960 ,Elmer Gantry,False
3,1960 ,Sons and Lovers,False
4,1960 ,The Sundowners,False
6,1961 ,West Side Story,True
7,1961 ,Fanny,False
8,1961 ,The Guns of Navarone,False
9,1961 ,The Hustler,False
10,1961 ,Judgment at Nuremberg,False
12,1962 ,Lawrence of Arabia,True
13,1962 ,The Longest Day,False
14,1962 ,The Music Man,False
15,1962 ,Mutiny on the Bounty,True
16,1962 ,To Kill a Mockingbird,False
18,1963 ,Tom Jones,True
19,1963 ,America America,False
20,1963 ,Cleopatra,False
21,1963 ,How the West Was Won,False
22,1963 ,Lilies of the Field,False
24,1964 ,My Fair Lady,True
25,1964 ,Becket,False
26,1964 ,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,False
27,1964 ,Mary Poppins,False
28,1964 ,Zorba the Greek,False
30,1965 ,The Sound of Music,True
31,1965 ,Darling,False
