,year,adult,id,original_language,original_title,overview,popularity,release_date,title,vote_average,vote_count,genres,budget,revenue,best_picture_winner
0,2015,False,99861,en,Avengers: Age of Ultron,"When Tony Stark tries to jumpstart a dormant peacekeeping program, things go awry and Earth’s Mightiest Heroes are put to the ultimate test as the fate of the planet hangs in the balance. As the villainous Ultron emerges, it is up to The Avengers to stop him from enacting his terrible plans, and soon uneasy alliances and unexpected action pave the way for an epic and unique global adventure.",11.8411,2015-04-22,avengers: age of ultron,7.271,23847,"[""'Action'"", "" 'Adventure'"", "" 'Science Fiction'""]",365000000,1405403694,False
1,2015,False,76341,en,Mad Max: Fury Road,"An apocalyptic story set in the furthest reaches of our planet, in a stark desert landscape where humanity is broken, and most everyone is crazed fighting for the necessities of life. Within this world exist two rebels on the run who just might be able to restore order.",10.6392,2015-05-13,mad max: fury road,7.627,23503,"[""'Action'"", "" 'Adventure'"", "" 'Science Fiction'""]",150000000,378858340,False
2,2015,False,150540,en,Inside Out,"When 11-year-old Riley moves to a new city, her Emotions team up to help her through the transition. Joy, Fear, Anger, Disgust and Sadness work together, but when Joy and Sadness get lost, they must journey through unfamiliar places to get back home.",13.9604,2015-06-17,inside out,7.91,22917,"[""'Animation'"", "" 'Family'"", "" 'Adventure'"", "" 'Drama'"", "" 'Comedy'""]",175000000,857611174,False
3,2015,False,135397,en,Jurassic World,"Twenty-two years after the events of Jurassic Park, Isla Nublar now features a fully functioning dinosaur theme park, Jurassic World, as originally envisioned by John Hammond.",11.8662,2015-06-06,jurassic world,6.7,21094,"[""'Action'"", "" 'Adventure'"", "" 'Science Fiction'"", "" 'Thriller'""]",150000000,1671537444,False
4,2015,False,286217,en,The Martian,"During a manned mission to Mars, Astronaut Mark Watney is presumed dead after a fierce storm and left behind by his crew. But Watney has survived and finds himself stranded and alone on the hostile planet. With only meager supplies, he must draw upon his ingenuity, wit and spirit to subsist and find a way to signal to Earth that he is alive.",9.0021,2015-09-30,the martian,7.69,20579,"[""'Drama'"", "" 'Adventure'"", "" 'Science Fiction'""]",108000000,631058917,False
5,2015,False,102899,en,Ant-Man,"Armed with the astonishing ability to shrink in scale but increase in strength, master thief Scott Lang must embrace his inner-hero and help his mentor, Doctor Hank Pym, protect the secret behind his spectacular Ant-Man suit from a new generation of towering threats. Against seemingly insurmountable obstacles, Pym and Lang must plan and pull off a heist that will save the world.",6.5173,2015-07-14,ant-man,7.067,20416,"[""'Science Fiction'"", "" 'Action'"", "" 'Adventure'""]",130000000,519311965,False
6,2015,False,140607,en,Star Wars: The Force Awakens,"Thirty years after defeating the Galactic Empire, Han Solo and his allies face a new threat from the evil Kylo Ren and his army of Stormtroopers.",10.4371,2015-12-15,star wars: the force awakens,7.255,20067,"[""'Adventure'"", "" 'Action'"", "" 'Science Fiction'""]",245000000,2068223624,False
7,2015,False,281957,en,The Revenant,"In the 1820s, a frontiersman, Hugh Glass, sets out on a path of vengeance against those who left him for dead after a bear mauling.",9.0737,2015-12-25,the revenant,7.537,18777,"[""'Western'"", "" 'Drama'"", "" 'Adventure'""]",135000000,532950503,False
8,2015,False,207703,en,Kingsman: The Secret Service,The story of a super-secret spy organization that recruits an unrefined but promising street kid into the agency's ultra-competitive training program just as a global threat emerges from a twisted tech genius.,7.8937,2015-01-24,kingsman: the secret service,7.6,17383,"[""'Crime'"", "" 'Comedy'"", "" 'Action'"", "" 'Adventure'""]",81000000,414351546,False
9,2015,False,273248,en,The Hateful Eight,Bounty hunters seek shelter from a raging blizzard and get caught up in a plot of betrayal and deception.,6.8608,2015-12-25,the hateful eight,7.756,14806,"[""'Drama'"", "" 'Mystery'"", "" 'Western'""]",44000000,155760117,False
