,Year,Data,adult,backdrop_path,genre_ids,id,original_language,original_title,overview,popularity,poster_path,release_date,title,video,vote_average,vote_count,genres
0,2015,"{'adult': False, 'backdrop_path': '/kIBK5SKwgqIIuRKhhWrJn3XkbPq.jpg', 'genre_ids': [28, 12, 878], 'id': 99861, 'original_language': 'en', 'original_title': 'Avengers: Age of Ultron', 'overview': 'When Tony Stark tries to jumpstart a dormant peacekeeping program, things go awry and Earth’s Mightiest Heroes are put to the ultimate test as the fate of the planet hangs in the balance. As the villainous Ultron emerges, it is up to The Avengers to stop him from enacting his terrible plans, and soon uneasy alliances and unexpected action pave the way for an epic and unique global adventure.', 'popularity': 11.8411, 'poster_path': '/4ssDuvEDkSArWEdyBl2X5EHvYKU.jpg', 'release_date': '2015-04-22', 'title': 'Avengers: Age of Ultron', 'video': False, 'vote_average': 7.271, 'vote_count': 23847}",False,/kIBK5SKwgqIIuRKhhWrJn3XkbPq.jpg,"[28, 12, 878]",99861,en,Avengers: Age of Ultron,"When Tony Stark tries to jumpstart a dormant peacekeeping program, things go awry and Earth’s Mightiest Heroes are put to the ultimate test as the fate of the planet hangs in the balance. As the villainous Ultron emerges, it is up to The Avengers to stop him from enacting his terrible plans, and soon uneasy alliances and unexpected action pave the way for an epic and unique global adventure.",11.8411,/4ssDuvEDkSArWEdyBl2X5EHvYKU.jpg,2015-04-22,Avengers: Age of Ultron,False,7.271,23847,"['Action', 'Adventure', 'Science Fiction']"
1,2015,"{'adult': False, 'backdrop_path': '/gqrnQA6Xppdl8vIb2eJc58VC1tW.jpg', 'genre_ids': [28, 12, 878], 'id': 76341, 'original_language': 'en', 'original_title': 'Mad Max: Fury Road', 'overview': 'An apocalyptic story set in the furthest reaches of our planet, in a stark desert landscape where humanity is broken, and most everyone is crazed fighting for the necessities of life. Within this world exist two rebels on the run who just might be able to restore order.', 'popularity': 10.6392, 'poster_path': '/hA2ple9q4qnwxp3hKVNhroipsir.jpg', 'release_date': '2015-05-13', 'title': 'Mad Max: Fury Road', 'video': False, 'vote_average': 7.627, 'vote_count': 23503}",False,/gqrnQA6Xppdl8vIb2eJc58VC1tW.jpg,"[28, 12, 878]",76341,en,Mad Max: Fury Road,"An apocalyptic story set in the furthest reaches of our planet, in a stark desert landscape where humanity is broken, and most everyone is crazed fighting for the necessities of life. Within this world exist two rebels on the run who just might be able to restore order.",10.6392,/hA2ple9q4qnwxp3hKVNhroipsir.jpg,2015-05-13,Mad Max: Fury Road,False,7.627,23503,"['Action', 'Adventure', 'Science Fiction']"
2,2015,"{'adult': False, 'backdrop_path': '/jJKZaTBNenlFclQyjrnvzkRmvWE.jpg', 'genre_ids': [16, 10751, 12, 18, 35], 'id': 150540, 'original_language': 'en', 'original_title': 'Inside Out', 'overview': 'When 11-year-old Riley moves to a new city, her Emotions team up to help her through the transition. Joy, Fear, Anger, Disgust and Sadness work together, but when Joy and Sadness get lost, they must journey through unfamiliar places to get back home.', 'popularity': 13.9604, 'poster_path': '/2H1TmgdfNtsKlU9jKdeNyYL5y8T.jpg', 'release_date': '2015-06-17', 'title': 'Inside Out', 'video': False, 'vote_average': 7.91, 'vote_count': 22917}",False,/jJKZaTBNenlFclQyjrnvzkRmvWE.jpg,"[16, 10751, 12, 18, 35]",150540,en,Inside Out,"When 11-year-old Riley moves to a new city, her Emotions team up to help her through the transition. Joy, Fear, Anger, Disgust and Sadness work together, but when Joy and Sadness get lost, they must journey through unfamiliar places to get back home.",13.9604,/2H1TmgdfNtsKlU9jKdeNyYL5y8T.jpg,2015-06-17,Inside Out,False,7.91,22917,"['Animation', 'Family', 'Adventure', 'Drama', 'Comedy']"
3,2015,"{'adult': False, 'backdrop_path': '/dF6FjTZzRTENfB4R17HDN20jLT2.jpg', 'genre_ids': [28, 12, 878, 53], 'id': 135397, 'original_language': 'en', 'original_title': 'Jurassic World', 'overview': 'Twenty-two years after the events of Jurassic Park, Isla Nublar now features a fully functioning dinosaur theme park, Jurassic World, as originally envisioned by John Hammond.', 'popularity': 11.8662, 'poster_path': '/rhr4y79GpxQF9IsfJItRXVaoGs4.jpg', 'release_date': '2015-06-06', 'title': 'Jurassic World', 'video': False, 'vote_average': 6.7, 'vote_count': 21094}",False,/dF6FjTZzRTENfB4R17HDN20jLT2.jpg,"[28, 12, 878, 53]",135397,en,Jurassic World,"Twenty-two years after the events of Jurassic Park, Isla Nublar now features a fully functioning dinosaur theme park, Jurassic World, as originally envisioned by John Hammond.",11.8662,/rhr4y79GpxQF9IsfJItRXVaoGs4.jpg,2015-06-06,Jurassic World,False,6.7,21094,"['Action', 'Adventure', 'Science Fiction', 'Thriller']"
4,2015,"{'adult': False, 'backdrop_path': '/9pubUbDX3eKB6ZuKxbFgv4cBZrz.jpg', 'genre_ids': [18, 12, 878], 'id': 286217, 'original_language': 'en', 'original_title': 'The Martian', 'overview': 'During a manned mission to Mars, Astronaut Mark Watney is presumed dead after a fierce storm and left behind by his crew. But Watney has survived and finds himself stranded and alone on the hostile planet. With only meager supplies, he must draw upon his ingenuity, wit and spirit to subsist and find a way to signal to Earth that he is alive.', 'popularity': 9.0021, 'poster_path': '/3ndAx3weG6KDkJIRMCi5vXX6Dyb.jpg', 'release_date': '2015-09-30', 'title': 'The Martian', 'video': False, 'vote_average': 7.69, 'vote_count': 20579}",False,/9pubUbDX3eKB6ZuKxbFgv4cBZrz.jpg,"[18, 12, 878]",286217,en,The Martian,"During a manned mission to Mars, Astronaut Mark Watney is presumed dead after a fierce storm and left behind by his crew. But Watney has survived and finds himself stranded and alone on the hostile planet. With only meager supplies, he must draw upon his ingenuity, wit and spirit to subsist and find a way to signal to Earth that he is alive.",9.0021,/3ndAx3weG6KDkJIRMCi5vXX6Dyb.jpg,2015-09-30,The Martian,False,7.69,20579,"['Drama', 'Adventure', 'Science Fiction']"
5,2015,"{'adult': False, 'backdrop_path': '/1K3JmSNUN8OpjYsCjc0Hy0SYxAb.jpg', 'genre_ids': [878, 28, 12], 'id': 102899, 'original_language': 'en', 'original_title': 'Ant-Man', 'overview': 'Armed with the astonishing ability to shrink in scale but increase in strength, master thief Scott Lang must embrace his inner-hero and help his mentor, Doctor Hank Pym, protect the secret behind his spectacular Ant-Man suit from a new generation of towering threats. Against seemingly insurmountable obstacles, Pym and Lang must plan and pull off a heist that will save the world.', 'popularity': 6.5173, 'poster_path': '/rQRnQfUl3kfp78nCWq8Ks04vnq1.jpg', 'release_date': '2015-07-14', 'title': 'Ant-Man', 'video': False, 'vote_average': 7.067, 'vote_count': 20416}",False,/1K3JmSNUN8OpjYsCjc0Hy0SYxAb.jpg,"[878, 28, 12]",102899,en,Ant-Man,"Armed with the astonishing ability to shrink in scale but increase in strength, master thief Scott Lang must embrace his inner-hero and help his mentor, Doctor Hank Pym, protect the secret behind his spectacular Ant-Man suit from a new generation of towering threats. Against seemingly insurmountable obstacles, Pym and Lang must plan and pull off a heist that will save the world.",6.5173,/rQRnQfUl3kfp78nCWq8Ks04vnq1.jpg,2015-07-14,Ant-Man,False,7.067,20416,"['Science Fiction', 'Action', 'Adventure']"
6,2015,"{'adult': False, 'backdrop_path': '/8BTsTfln4jlQrLXUBquXJ0ASQy9.jpg', 'genre_ids': [12, 28, 878], 'id': 140607, 'original_language': 'en', 'original_title': 'Star Wars: The Force Awakens', 'overview': 'Thirty years after defeating the Galactic Empire, Han Solo and his allies face a new threat from the evil Kylo Ren and his army of Stormtroopers.', 'popularity': 10.4371, 'poster_path': '/wqnLdwVXoBjKibFRR5U3y0aDUhs.jpg', 'release_date': '2015-12-15', 'title': 'Star Wars: The Force Awakens', 'video': False, 'vote_average': 7.255, 'vote_count': 20067}",False,/8BTsTfln4jlQrLXUBquXJ0ASQy9.jpg,"[12, 28, 878]",140607,en,Star Wars: The Force Awakens,"Thirty years after defeating the Galactic Empire, Han Solo and his allies face a new threat from the evil Kylo Ren and his army of Stormtroopers.",10.4371,/wqnLdwVXoBjKibFRR5U3y0aDUhs.jpg,2015-12-15,Star Wars: The Force Awakens,False,7.255,20067,"['Adventure', 'Action', 'Science Fiction']"
7,2015,"{'adult': False, 'backdrop_path': '/sGOw65ZmfgGfistCjuNsazjs6j9.jpg', 'genre_ids': [37, 18, 12], 'id': 281957, 'original_language': 'en', 'original_title': 'The Revenant', 'overview': 'In the 1820s, a frontiersman, Hugh Glass, sets out on a path of vengeance against those who left him for dead after a bear mauling.', 'popularity': 9.0737, 'poster_path': '/ji3ecJphATlVgWNY0B0RVXZizdf.jpg', 'release_date': '2015-12-25', 'title': 'The Revenant', 'video': False, 'vote_average': 7.537, 'vote_count': 18777}",False,/sGOw65ZmfgGfistCjuNsazjs6j9.jpg,"[37, 18, 12]",281957,en,The Revenant,"In the 1820s, a frontiersman, Hugh Glass, sets out on a path of vengeance against those who left him for dead after a bear mauling.",9.0737,/ji3ecJphATlVgWNY0B0RVXZizdf.jpg,2015-12-25,The Revenant,False,7.537,18777,"['Western', 'Drama', 'Adventure']"
8,2015,"{'adult': False, 'backdrop_path': '/qzUIOTk0E3F1zjvYjcBRTKUTgf9.jpg', 'genre_ids': [80, 35, 28, 12], 'id': 207703, 'original_language': 'en', 'original_title': 'Kingsman: The Secret Service', 'overview': ""The story of a super-secret spy organization that recruits an unrefined but promising street kid into the agency's ultra-competitive training program just as a global threat emerges from a twisted tech genius."", 'popularity': 7.8937, 'poster_path': '/r6q9wZK5a2K51KFj4LWVID6Ja1r.jpg', 'release_date': '2015-01-24', 'title': 'Kingsman: The Secret Service', 'video': False, 'vote_average': 7.6, 'vote_count': 17383}",False,/qzUIOTk0E3F1zjvYjcBRTKUTgf9.jpg,"[80, 35, 28, 12]",207703,en,Kingsman: The Secret Service,The story of a super-secret spy organization that recruits an unrefined but promising street kid into the agency's ultra-competitive training program just as a global threat emerges from a twisted tech genius.,7.8937,/r6q9wZK5a2K51KFj4LWVID6Ja1r.jpg,2015-01-24,Kingsman: The Secret Service,False,7.6,17383,"['Crime', 'Comedy', 'Action', 'Adventure']"
9,2015,"{'adult': False, 'backdrop_path': '/7gfDVfaw0VaIkUGiEH13o3TIC7A.jpg', 'genre_ids': [18, 9648, 37], 'id': 273248, 'original_language': 'en', 'original_title': 'The Hateful Eight', 'overview': 'Bounty hunters seek shelter from a raging blizzard and get caught up in a plot of betrayal and deception.', 'popularity': 6.8608, 'poster_path': '/jIywvdPjia2t3eKYbjVTcwBQlG8.jpg', 'release_date': '2015-12-25', 'title': 'The Hateful Eight', 'video': False, 'vote_average': 7.756, 'vote_count': 14806}",False,/7gfDVfaw0VaIkUGiEH13o3TIC7A.jpg,"[18, 9648, 37]",273248,en,The Hateful Eight,Bounty hunters seek shelter from a raging blizzard and get caught up in a plot of betrayal and deception.,6.8608,/jIywvdPjia2t3eKYbjVTcwBQlG8.jpg,2015-12-25,The Hateful Eight,False,7.756,14806,"['Drama', 'Mystery', 'Western']"
